Kod_TERYT;nazwa_samorządu;Województwo;Powiat;typ_JST;nazwa_urzędu_JST;miejscowość;Kod pocztowy;poczta;Ulica;Nr domu;telefon-kierunkowy;telefon;wewnętrzny;fax-kierunkowy;FAX;stanowisko;Imię;Nazwisko;ogólny adres mail'owy gminy/powiatu/województwa;adres www jednostki;Kategoria gminy
0207022;Kamienna Góra;dolnośląskie;kamiennogórski;GW;Urząd Gminy Kamienna Góra;Kamienna Góra;58-400;Kamienna Góra;Al. Wojska Polskiego;10;(75);610-62-92;;(75);744-28-57;Wójt;Patryk;Straus;urzad@gminakg.pl;www.kamiennagora.kei.pl;1
0208072;Kłodzko;dolnośląskie;kłodzki;GW;Urząd Gminy Kłodzko;Kłodzko;57-300;Kłodzko;ul. Okrzei;8a;(74);647-41-00;104;(74);647-41-03;Wójt;Stanisław;Longawa;ug@gmina.klodzko.pl;www.gmina.klodzko.pl;1
0208133;Stronie Śląskie;dolnośląskie;kłodzki ;GMW;Urząd Miejski w Stroniu Śląskim;Stronie Śląskie;57-550;Stronie Śląskie;ul. Kościuszki;55;(74);811-77-12;;(74);811-77-32;Burmistrz;Zbigniew;Łopusiewicz;gmina@stronie.pl;www.stronie.pl;1
0208143;Szczytna;dolnośląskie;kłodzki ;GMW;Urząd Miasta i Gminy Szczytna;Szczytna;57-330;Szczytna;ul. Wolności;42;(74);868-32-76;;(74);868-30-20;Burmistrz;Marek;Szpanier;szczytna@szczytna.pl;www.szczytna.pl;1
0209022;Chojnów;dolnośląskie;legnicki;GW;Urząd Gminy Chojnów;Chojnów;59-225;Chojnów;ul.Fabryczna;1;(76);818-85-02;;(76);818-75-87;Wójt;Andrzej;Pyrz;urzad@gmina-chojnow.pl;www.gmina-chojnow.pl;1
0209032;Krotoszyce;dolnośląskie;legnicki;GW;Urząd Gminy Krotoszyce;Krotoszyce;59-223;Krotoszyce;ul. Piastowska;46;(76);887-84-21;;(76);887-83-70;Wójt;Beata;Castaneda Trujillo;ug@krotoszyce.gminyrp.pl;http://www.krotoszyce.pl/;1
0209042;Kunice;dolnośląskie;legnicki;GW;Urząd Gminy Kunice;Kunice;59-216;Kunice;ul. Gwarna;1;(76);857-53-22;32;(76);857-54-82;Wójt;Zdzisław;Tersa;kunice@kunice.pl;www.kunice.pl;1
0209052;Legnickie Pole;dolnośląskie;legnicki;GW;Urząd Gminy Legnickie Pole;Legnickie Pole;59-241;Legnickie Pole;ul. Kiliana Ignacego Dientzenhofera;1;(76);858-28-10;;(76);858-28-12;Wójt;Henryk;Babuśka;sekretariat@legnickiepole.pl;www.legnickiepole.pl;1
0209062;Miłkowice;dolnośląskie;legnicki;GW;Urząd Gminy Miłkowice;Miłkowice;59-222;Miłkowice;ul. II Armii Wojska Polskiego;71;(76);887-12-12;;(76);887-12-13;Wójt;Dawid;Stachura;sekretariat@ugmilkowice.net;www.ugmilkowice.net;1
0209073;Prochowice;dolnośląskie;legnicki;GMW;Urząd Miasta i Gminy Prochowice;Prochowice;59-230;Prochowice;Rynek;1;(76);858-43-42;24;(76);888-45-81;Burmistrz;Alicja;Sielicka;prochowice@prochowice.com;www.prochowice.com;1
0209082;Ruja;dolnośląskie;legnicki;GW;Urząd Gminy Ruja;Ruja;59-243;Ruja;;23;(76);858-03-11;;(76);858-03-17;Wójt;Paweł;Gregorczuk;ug-ruja@wp.pl;www.ruja.pl;1
0210042;Lubań;dolnośląskie;lubański;GW;Urząd Gminy Lubań;Lubań;59-800;Lubań;ul. Dąbrowskiego;18;(75);646-59-20;;(75);612-68-50;Wójt;Zbigniew;Hercuń;info@luban.ug.gov.pl;www.luban.ug.gov.pl;1
0211043;Ścinawa;dolnośląskie;lubiński;GMW;Urząd Miasta i Gminy w Ścinawie;Ścinawa;59-330;Ścinawa;Rynek;17;(76);841-26-00;;(76);841-26-01;Burmistrz;Krystian;Kosztyła;urzad@scinawa.pl;http://www.scinawa.pl/;1
0212033;Lwówek Śląski;dolnośląskie;lwówecki;GMW;Urząd Gminy i Miasta Lwówek Śląski;Lwówek Śląski;59-600;Lwówek Śląski;Al. Wojska Polskiego;25 A;(75);647-78-88;;(75);647-78-89;Burmistrz;Mariola;Szczęsna;urzad@lwowekslaski.pl;http://www.bip.lwowekslaski.pl/;1
0213033;Milicz;dolnośląskie;milicki;GMW;Urząd Miejski w Miliczu;Milicz;56-300;Milicz;ul. Trzebnicka;2;(71);384-00-04;;(71);384-11-19;Burmistrz;Piotr;Lech;info@milicz.pl;www.milicz.pl;1
0214032;Dobroszyce;dolnośląskie;oleśnicki;GW;Urząd Gminy Dobroszyce;Dobroszyce;56-410;Dobroszyce;Rynek;16;(71);314-12-10;;(71);314-12-76;Wójt;Artur;Ciosek;sekretariat@dobroszyce.pl;www.dobroszyce.pl;1
0214042;Dziadowa Kłoda;dolnośląskie;oleśnicki;GW;Urząd Gminy Dziadowa Kłoda;Dziadowa Kłoda;56-504;Dziadowa Kłoda;ul. Oleśnicka;1;(62);786-92-82;;(62);785-18-08;Wójt;Robert ;Fryt;urzad.gminy@dziadowakloda.pl;www.dziadowakloda.pl;1
0214053;Międzybórz;dolnośląskie;oleśnicki;GMW;Urząd Miasta i Gminy w Międzyborzu;Międzybórz;56-513;Międzybórz;ul. Kolejowa;13;(62);785-60-81;21;(62);785-62-66;Burmistrz;Jarosław;Głowacki;umig@miedzyborz.pl;www.miedzyborz.pl;1
0214062;Oleśnica;dolnośląskie;oleśnicki;GW;Urząd Gminy Oleśnica;Oleśnica;56-400;Oleśnica;ul. 11 Listopada;24;(71);314-02-00;;(71);314-02-04;Wójt;Marcin;Kasina;urzad@olesnica.wroc.pl;www.olesnica.wroc.pl;1
0214073;Syców;dolnośląskie;oleśnicki;GMW;Urząd Miasta i Gminy Syców;Syców;56-500;Syców;ul. Mickiewicza;1;(62);785-51-00;;(62);785-51-04;Burmistrz;Sławomir;Kapica;urzad@sycow.pl;www.sycow.pl;1
0214083;Twardogóra;dolnośląskie;oleśnicki;GMW;Urząd Miasta i Gminy Twardogóra;Twardogóra;56-416;Twardogóra;ul. Ratuszowa;14;(71);399-22-00;;(71);315-81-42;Burmistrz;Zbigniew;Potyrała;ratusz@twardogora.pl;www.twardogora.pl;1
0215022;Domaniów;dolnośląskie;oławski;GW;Urząd Gminy Domaniów;Domaniów;55-216;Domaniów;;56;(71);301-77-35;kom. 602482110;(71);301-78-70;Wójt;Wojciech;Głogulski;sekretariat@gminadomaniow.pl;http://gminadomaniow.pl;1
0215033;Jelcz-Laskowice;dolnośląskie;oławski;GMW;Urząd Miasta i Gminy Jelcz-Laskowice;Jelcz-Laskowice;55-220;Jelcz-Laskowice;ul. Wincentego Witosa;24;(71);381-71-00;;(71);381-71-11;Burmistrz;Bogdan;Szczęśniak;um.info@jelcz-laskowice.pl;www.jelcz-laskowice.pl;1
0215042;Oława;dolnośląskie;oławski;GW;Urząd Gminy Oława;Oława;55-200;Oława;pl. Marsz. Józefa Piłsudskiego;28;(71);313-30-44;;(71);313-01-99;Wójt;Jan;Kownacki;sekretariat@GminaOlawa.pl;www.gminaolawa.pl;1
0216013;Chocianów;dolnośląskie;polkowicki;GMW;Urząd Miasta i Gminy w Chocianowie;Chocianów;59-140;Chocianów;ul. Ratuszowa;10;(76);818-50-20;;(76);818-50-61;Burmistrz;Franciszek;Skibicki;bok@chocianow.pl;www.chocianow.pl;1
0216022;Gaworzyce;dolnośląskie;polkowicki;GW;Urząd Gminy Gaworzyce;Gaworzyce;59-180;Gaworzyce;ul. Okrężna;85;(76);831-62-85;37;(76);831-62-86;Wójt;Jacek Marek;Szwagrzyk;ug@gaworzyce.com.pl;www.gaworzyce.com.pl;1
0216053;Przemków;dolnośląskie;polkowicki;GMW;Urząd Miejski w Przemkowie;Przemków;59-170;Przemków;Plac Wolności;25;(76);831-92-10;;(76);831-92-08;Burmistrz;Jerzy;Szczupak;burmistrz@przemkow.pl;www.przemkow.pl;1
0216062;Radwanice;dolnośląskie;polkowicki;GW;Urząd Gminy Radwanice;Radwanice;59-160;Radwanice;ul. Przemysłowa;17;(76);831-14-78;;(76);831-13-61;Wójt;Paweł;Piwko;radwanice1@wp.pl;www.radwanice.pl;1
0217012;Borów;dolnośląskie;strzeliński;GW;Urząd Gminy Borów;Borów;57-160;Borów;ul.Konstytucji 3 Maja;22;(71);393-32-21;;(71);393-30-35;Wójt;Waldemar;Grochowski;wojt@borow.ug.gov.pl;www.borow.ug.gov.pl;1
0217032;Przeworno;dolnośląskie;strzeliński;GW;Urząd Gminy Przeworno;Przeworno;57-130;Przeworno;ul. Kolejowa;4A;(74);810-20-52;;(74);810-20-02;Wójt;Jarosław;Taranek;sekretariat@przeworno.pl;www.przeworno.pl;1
0217053;Wiązów;dolnośląskie;strzeliński;GMW;Urząd Miasta i Gminy Wiązów;Wiązów;57-120;Wiązów;Plac Wolności;37;(71);393-11-36;;(71);3931058  wew. 13;Burmistrz;Jerzy;Krochmalny;sekretariat@wiazow.pl;www.wiazow.pl;1
0218012;Kostomłoty;dolnośląskie;średzki;GW;Urząd Gminy Kostomłoty;Kostomłoty;55-311;Kostomłoty;ul. Ślężna;2;(71);317-02-83;;(71);3170283 wew. 40;Wójt;Stanisław;Wicha;gmina@kostomloty.pl;www.kostomloty.pl;1
0219043;Jaworzyna Śląska;dolnośląskie;świdnicki;GMW;Urząd Miejski w Jaworzynie Śląskiej;Jaworzyna Śląska;58-140;Jaworzyna Śląska;ul. Wolności;9;(74);858-82-30;;(74);858-82-53;Burmistrz;Grzegorz;Grzegorzewicz;urzad@jaworzyna.net;www.jaworzyna.net;1
0219052;Marcinowice;dolnośląskie;świdnicki;GW;Urząd Gminy Marcinowice;Marcinowice;58-124;Marcinowice;ul. J. Tuwima;2;(74);858-52-26;;(74);858-52-31;Wójt;Władysław;Gołębiowski;gmina@marcinowice.pl;www.marcinowice.pl;1
0219072;Świdnica;dolnośląskie;świdnicki;GW;Urząd Gminy Świdnica;Świdnica;58-100;Świdnica;ul. Głowackiego;4;(74);852-12-26;;(74);852-02-74 wew. 400;Wójt;Teresa;Mazurek;urzad@gmina.swidnica.pl;www.gmina.swidnica.pl;1
0219083;Żarów;dolnośląskie;świdnicki;GMW;Urząd Miejski w Żarowie;Żarów;58-130;Żarów;ul. Zamkowa;2;(74);858-05-91;;(74);858-07-78;Burmistrz;Leszek;Michalak;burmistrz@um.zarow.pl;www.um.zarow.pl;1
0220033;Trzebnica;dolnośląskie;trzebnicki;GMW;Urząd Miejski w Trzebnicy;Trzebnica;55-100;Trzebnica;pl. Marszałka J. Piłsudskiego;1;(71);312-06-11;;(71);312-12-48;Burmistrz;Marek;Długozima;sekretariat@um.trzebnica.pl;www.um.trzebnica.pl;1
0220052;Zawonia;dolnośląskie;trzebnicki;GW;Urząd Gminy Zawonia;Zawonia;55-106;Zawonia;ul. Trzebnicka;11;(71);312-81-82;;(71);312-81-93;Wójt;Agnieszka;Wersta;urzad@zawonia.pl;www.zawonia.pl;1
0222033;Wołów;dolnośląskie;wołowski;GMW;Urząd Miejski w Wołowie;Wołów;56-100;Wołów;Rynek - Ratusz;;(71);319-13-05;;(71);319-13-03;Burmistrz;Dariusz;Chmura;sekretariat@wolow.pl;www.wolow.pl;1
0223032;Jordanów Śląski;dolnośląskie;wrocławski;GW;Urząd Gminy Jordanów Śląski;Jordanów Śląski;55-065;Jordanów Śląski;ul. Wrocławska;55;(71);391-15-80;;(71);391-15-90;Wójt;Henryk;Kuriata;ug@jordanowslaski.pl;www.jordanowslaski.pl;1
0223043;Kąty Wrocławskie;dolnośląskie;wrocławski;GMW;Urząd Miasta i Gminy w Kątach Wrocławskich;Kąty Wrocławskie;55-080;Kąty Wrocławskie;Rynek - Ratusz;1;(71);390-72-00;;(71);390-72-01;Burmistrz;Andrzej ;Kopeć;urzad@katywroclawskie.pl;www.katywroclawskie.pl;1
0223073;Sobótka;dolnośląskie;wrocławski;GMW;Urząd Miasta i Gminy Sobótka;Sobótka;55-050;Sobótka;Rynek;1;(71);316-20-45;;(71);316-21-23;Burmistrz;Stanisław;Dobrowolski;urzad@sobotka.pl;http://www.sobotka.pl/;1
0223092;Żórawina;dolnośląskie;wrocławski;GW;Urząd Gminy Żórawina;Żórawina;55-020;Żórawina;ul. Kolejowa;6;(71);316-51-05;;(71);723-49-00;Wójt;Jan;Żukowski;urzad@zorawina.pl;www.zorawina.pl;1
0224013;Bardo;dolnośląskie;ząbkowicki;GMW;Urząd Miasta i Gminy w Bardzie;Bardo;57-256;Bardo;Rynek;2;(74);817-14-78;;(74);817-14-24;Burmistrz;Krzysztof;Żegański;umig@bardo.pl;www.bardo.pl;1
0224022;Ciepłowody;dolnośląskie;ząbkowicki;GW;Urząd Gminy Ciepłowody;Ciepłowody;57-211;Ciepłowody;ul.Kolejowa;3;(74);810-35-56;;(74);810-32-28;Wójt;Łukasz;Białkowski;sekretariat@cieplowody.pl;www.cieplowody.pl;1
0225011;Zawidów;dolnośląskie;zgorzelecki;GM;Urząd Miejski w Zawidowie;Zawidów;59-970;Zawidów;ul. Zwycięstwa;21/22;(75);778-82-82;;(75);778-82-05;Burmistrz;Robert;Łężny;umzawidow@wp.pl;www.zawidow.info;1
0402032;Brodnica;kujawsko-pomorskie;brodnicki;GW;Urząd Gminy Brodnica;Brodnica;87-300;Brodnica;ul. Zamkowa;13a;(56);494-16-12;;(56);494-16-40;Wójt;Edward;Łukaszewski;sekretariat@brodnica.ug.gov.pl;www.brodnica.ug.gov.pl;1
0402053;Górzno;kujawsko-pomorskie;brodnicki;GMW;Urząd Gminy Górzno;Górzno;87-320;Górzno;ul. Rynek;1;(56);498-92-49;;(56);498-92-49;Burmistrz;Tomasz;Kinicki;urzad@gorzno.pl;http://www.gorzno.pl/;1
0403022;Dąbrowa Chełmińska;kujawsko-pomorskie;bydgoski;GW;Urząd Gminy Dąbrowa Chełmińska;Dąbrowa Chełmińska;86-070;Dąbrowa Chełmińska;ul. Bydgoska;21;(52);381-60-05;;(52);381-62-90;Wójt;Radosław;Ciechacki;sekretariat@dabrowachelminska.lo.pl;www.dabrowachelminska.lo.pl;1
0403032;Dobrcz;kujawsko-pomorskie;bydgoski;GW;Urząd Gminy Dobrcz;Dobrcz;86-022;Dobrcz;ul. Długa;50;(52);364-80-10;;(52);364-80-32;Wójt;Krzysztof;Szala;dobrcz@dobrcz.pl;www.dobrcz.pl;1
0403043;Koronowo;kujawsko-pomorskie;bydgoski;GMW;Urząd Miejski w Koronowie;Koronowo;86-010;Koronowo;Plac Zwycięstwa;1;(52);382-64-11;;(52);382-64-01;Burmistrz;Stanisław;Gliszczyński;sekretariat@um.koronowo.pl;www.um.koronowo.pl;1
0403052;Nowa Wieś Wielka;kujawsko-pomorskie;bydgoski;GW;Urząd Gminy Nowa Wieś Wielka;Nowa Wieś Wielka;86-060;Nowa Wieś Wielka;ul. Ogrodowa;2;(52);320-68-68;;(52);320-68-50;Wójt;Wojciech;Oskwarek;"kancelaria@nowawieswielka.pl

kancelaria(at)nowawieswielka.pl

kancelaria@nowawieswielka.pl";www.nowawieswielka.pl;1
0403072;Sicienko;kujawsko-pomorskie;bydgoski;GW;Urząd Gminy Sicienko;Sicienko;86-014;Sicienko;ul. Mrotecka;9;(52);587-04-01;;(52);587-04-07;Wójt;Jan Czesław;Wach;gmina@sicienko.pl;www.sicienko.pl;1
0403083;Solec Kujawski;kujawsko-pomorskie;bydgoski;GMW;Urząd Miasta i Gminy Solec Kujawski;Solec Kujawski;86-050;Solec Kujawski;ul. 23 Stycznia;7;(52);387-01-44;;(52);387-12-53;Burmistrz;Teresa;Substyk;solec@soleckujawski.pl;www.soleckujawski.pl;1
0404022;Chełmno;kujawsko-pomorskie;chełmiński;GW;Urząd Gminy Chełmno;Chełmno;86-200;Chełmno;ul. Dworcowa;1;(56);686-14-42;;(56);686-15-40;Wójt;Krzysztof;Wypij;urzad@gmina-chelmno.pl;www.gmina-chelmno.pl;1
0404042;Lisewo;kujawsko-pomorskie;chełmiński;GW;Urząd Gminy Lisewo;Lisewo;86-230;Lisewo;ul. Chełmińska;2;(56);676-86-03;36;(56);676-86-03 wew. 33;Wójt;Jakub;Kochowicz;urzadgminy@lisewo.com;www.lisewo.com;1
0404072;Unisław;kujawsko-pomorskie;chełmiński;GW;Urząd Gminy Unisław;Unisław;86-260;Unisław;ul. Parkowa;20;(56);686-60-06;;(56);686-87-18;Wójt;Jakub;Danielewicz;gmina@unislaw.pl;www.unislaw.pl;1
0406012;Grudziądz;kujawsko-pomorskie;grudziądzki;GW;Urząd Gminy Grudziądz;Grudziądz;86-300;Grudziądz;ul. Wybickiego;38;(56);451-11-31;;(56);451-11-32;Wójt;Andrzej;Rodziewicz;ug@grudziadz.ug.gov.pl;www.grudziadz.ug.gov.pl;1
0407033;Gniewkowo;kujawsko-pomorskie;inowrocławski;GMW;Urząd Miejski w Gniewkowie;Gniewkowo;88-140;Gniewkowo;ul. 17 stycznia;11;(52);354-30-08;;(52);354-30-37;Burmistrz;Adam;Roszak;urzad@gniewkowo.com.pl;www.gniewkowo.com.pl;1
0407092;Złotniki Kujawskie;kujawsko-pomorskie;inowrocławski;GW;Urząd Gminy Złotniki Kujawskie;Złotniki Kujawskie;88-180;Złotniki Kujawskie;ul. Powstańców Wielkopolskich;6;(52);351-71-60;;(52);351-71-60 wew. 51;Wójt;Witold;Cybulski;"sekretariat@zlotnikikujawskie.pl

sekretariat@zlotnikikujawskie.pl";www.zlotnikikujawskie.pl;1
0409012;Dąbrowa;kujawsko-pomorskie;mogileński;GW;Urząd Gminy Dąbrowa;Dąbrowa;88-306;Dąbrowa;ul. Kasztanowa;16;(52);315-32-15;kom. 607654848;(52);315-32-01;Wójt;Marcin;Barczykowski;ug-dabrowa@ug-dabrowa.pl;www.ug-dabrowa.pl;1
0409033;Mogilno;kujawsko-pomorskie;mogileński;GMW;Urząd Miejski w Mogilnie;Mogilno;88-300;Mogilno;ul. Narotowicza;1;(52);318-55-20;;(52);315-26-93;Burmistrz;Leszek;Duszyński;burmistrz@mogilno.pl;www.mogilno.pl;1
0410053;Szubin;kujawsko-pomorskie;nakielski;GMW;Urząd Miejski w Szubinie;Szubin;89-200;Szubin;ul. Kcyńska;12;(52);391-07-00;;(52);391-07-19;Burmistrz;Artur;Michalak;ugim@ugim.szubin.pl;http://www.szubin.pl/;1
0413023;Sępólno Krajeńskie;kujawsko-pomorskie;sępoleński;GMW;Urząd Miejski w Sępólnie Krajeńskim;Sępólno Krajeńskie;89-400;Sępólno Krajeńskie;ul. T. Kościuszki;11;(52);389-42-00;;(52);389-42-20;Burmistrz;Waldemar Edward;Stupałkowski;sekretariat@gmina-sepolno.pl;www.gmina-sepolno.pl;1
0414042;Jeżewo;kujawsko-pomorskie;świecki;GW;Urząd Gminy Jeżewo;Jeżewo;86-131;Jeżewo;ul. Świecka;12;(52);331-80-25;;(52);331-80-68;Wójt;Mieczysław;Pikuła;sekretariat@ug-jezewo.lo.pl;www.ug-jezewo.lo.pl;1
0414072;Osie;kujawsko-pomorskie;świecki;GW;Urząd Gminy Osie;Osie;86-150;Osie;ul. Dworcowa;6;(52);332-95-92;;(52);332-95-91;Wójt;Michał Joachim;Grabski;ug@osie.pl;www.osie.pl;1
0414082;Pruszcz;kujawsko-pomorskie;świecki;GW;Urząd Gminy Pruszcz;Pruszcz;86-120;Pruszcz;ul. Główna;33;(52);562-43-00;;(52);562-43-02;Wójt;Dariusz;Wądołowski;pruszcz@pruszcz.pl;www.pruszcz.pl;1
0415022;Chełmża;kujawsko-pomorskie;toruński;GW;Urząd Gminy Chełmża;Chełmża;87-140;Chełmża;ul. Wodna;2;(56);675-60-76;;(56);675-60-79;Wójt;Jacek Jerzy;Czarnecki;info@gminachelmza.pl;www.gminachelmza.pl;1
0415032;Czernikowo;kujawsko-pomorskie;toruński;GW;Urząd Gminy Czernikowo;Czernikowo;87-640;Czernikowo;ul. Słowackiego;12;(54);287-50-01;42;(54);287-50-13;Wójt;Zdzisław;Gawroński;info@czernikowo.pl;www.czernikowo.pl;1
0415052;Łubianka;kujawsko-pomorskie;toruński;GW;Urząd Gminy Łubianka;Łubianka;87-152;Łubianka;Al. Jana Pawła II;8;(56);678-82-17;46;(56);678-82-19;Wójt;Jerzy;Zająkała;gmina@lubianka.pl;www.lubianka.pl;1
0415062;Łysomice;kujawsko-pomorskie;toruński;GW;Urząd Gminy Łysomice;Łysomice;87-148;Łysomice;ul. Warszawska;8;(56);678-32-22;;(56);678-35-05;Wójt;Piotr;Kowal;sekretariat@lysomice.pl;www.lysomice.pl;1
0415082;Wielka Nieszawka;kujawsko-pomorskie;toruński;GW;Urząd Gminy Wielka Nieszawka;Wielka Nieszawka;87-165;Wielka Nieszawka;ul. Toruńska;12;(56);678-12-12;;(56);678-12-12;Wójt;Kazimierz;Kaczmarek;wlkniesz@wielkanieszawka.lo.pl;www.wielkanieszawka.lo.pl;1
0415092;Zławieś Wielka;kujawsko-pomorskie;toruński;GW;Urząd Gminy Zławieś Wielka;Zławieś Wielka;87-134;Zławieś Wielka;ul. Handlowa;7;(56);678-09-13;;(56);678-02-08;Wójt;Jan;Surdyka;ugzlawies@wp.pl;www.zlawies.pl;1
0416042;Lubiewo;kujawsko-pomorskie;tucholski;GW;Urząd Gminy Lubiewo;Lubiewo;89-526;Lubiewo;ul. Hallera;9;(52);334-93-10;kom. 509600023;(52);519-02-14;Wójt;Michał;Skałecki;ug@lubiewo.pl;www.lubiewo.pl;1
0416063;Tuchola;kujawsko-pomorskie;tucholski;GMW;Urząd Miejski w Tucholi;Tuchola;89-500;Tuchola;Pl. Zamkowy;1;(52);564-25-00;;(52);334-21-38;Burmistrz;Tadeusz;Kowalski;burmistrz@tuchola.pl;www.tuchola.pl;1
0418072;Fabianki;kujawsko-pomorskie;włocławski;GW;Urząd Gminy Fabianki;Fabianki;87-811;Fabianki;Fabianki;4;(54);251-72-10;;(54);251-72-29;Wójt;Zbigniew;Słomski;gmina@fabianki.pl;www.fabianki.pl;1
0418132;Włocławek;kujawsko-pomorskie;włocławski;GW;Urząd Gminy Włocławek;Włocławek;87-800;Włocławek;ul. Królewska;7;(54);230-53-00;;(54);230-53-53;Wójt;Ewa;Braszkiewicz;urzad@gmina.wloclawek.pl;www.gmina.wloclawek.pl;1
0419022;Gąsawa;kujawsko-pomorskie;żniński;GW;Urząd Gminy Gąsawa;Gąsawa;88-410;Gąsawa;ul. Żnińska;8;(52);303-62-10;;(52);302-62-20;Wójt;Błażej;Łabędzki;ug@gasawa.pl;www.gasawa.pl;1
0419033;Janowiec Wielkopolski;kujawsko-pomorskie;żniński;GMW;Urząd Miejski w Janowcu Wielkopolskim;Janowiec Wielkopolski;88-430;Janowiec Wielkopolski;ul. Gnieźnieńska;3;(52);302-30-34;;(52);302-30-20;Burmistrz;Maciej;Sobczak;burmistrz@um-janowiecwlkp.pl;www.um-janowiecwlkp.pl;1
0603032;Chełm;lubelskie;chełmski;GW;Urząd Gminy Chełm;Pokrówka;22-100;Chełm;ul. Gminna;18;(82);563-65-53;;(82);563-77-93;Wójt;Wiesław;Kociuba;sekretariat@gmina.chelm.pl;www.gmina.chelm.pl;1
